		Miranium costs for I/V/X/XV/XX are 100/100/100/1500/2000, unranked are just 100					Affixes already present on gear can have their ranks raised, so long as there are still enhancement slots available on the piece.																		
Night.MR-ACC X	Skell Melee/Ranged Accuracy at Night +10%	3 White Scintimure Tentacle	-	-	1 Enduron Lead																				
Night.MR-ACC XV	Skell Melee/Ranged Accuracy at Night +15%	4 White Scintimure Tentacle	-	-	1 Boiled Egg Ore																				
Night.MR-ACC XX	Skell Melee/Ranged Accuracy at Night +20%	5 White Scintimure Tentacle	-	-	1 Marine Rutile																				
SpecUp.HPMAX I	Skell Max HP +50	1 Succulent Meat	-	-	1 Arc Sand Ore																				
SpecUp.HPMAX V	Skell Max HP +250	2 Succulent Meat	-	-	1 Lionbone Bort																				
SpecUp.HPMAX X	Skell Max HP +500	3 Succulent Meat	-	-	1 Enduron Lead																				
SpecUp.HPMAX XV	Skell Max HP +750	4 Succulent Meat	-	-	1 Boiled-Egg Ore																				
SpecUp.HPMAX XX	Skell Max HP +1000	5 Succulent Meat	-	-	1 Marine Rutile																				
SpecUp.EVA I	Skell Evasion +5	1 Black Fog Deposits	-	-	1 Arc Sand Ore																				
SpecUp.EVA V	Skell Evasion +9	2 Black Fog Deposits	-	-	1 Lionbone Bort																				
SpecUp.EVA X	Skell Evasion +14	8 Cloudy Eyeball	8 Gerrid Shell	8 Jacul Waterfall Orb	2 Everfreeze Ore																				
SpecUp.EVA XV	Skell Evasion +20	16 Cloudy Eyeball	16 Gerrid Shell	16 Jacul Waterfall Orb	4 Foucaultium																				
SpecUp.EVA XX	Skell Evasion +25	32 Cloudy Eyeball	32 Gerrid Shell	32 Jacul Waterfall Orb	8 Bonjelium																				
SpecUp.APP-HP I	Appendage with device +50 Max HP	1 White Meaty Caecus Liver	-	-	1 Arc Sand Ore																				
SpecUp.APP-HP V	Appendage with device +250 Max HP	2 White Meaty Caecus Liver	-	-	1 Lionbone Bort																				
SpecUp.APP-HP X	Appendage with device +500 Max HP	3 White Meaty Caecus Liver	-	-	1 Enduron Lead																				
SpecUp.APP-HP XV	Appendage with device +750 Max HP	4 White Meaty Caecus Liver	-	-	1 Boiled-Egg Ore																				
SpecUp.APP-HP XX	Appendage with device +1000 Max HP	5 White Meaty Caecus Liver	-	-	1 Marine Rutile																				
SpecUp.PHYS-RES I	Skell Physical Res +1	1 Cinicula Shell	1 Falsaxum Shell	1 Suid Fillet	1 White Cometite																				
SpecUp.PHYS-RES V	Skell Physical Res +5	2 Cinicula Shell	2 Falsaxum Shell	2 Suid Fillet	1 Dawnstone																				
SpecUp.PHYS-RES X	Skell Physical Res +10	3 Cinicula Shell	3 Ictus Shell	3 Golden Blatta Wing	1 Everfreeze Ore																				
SpecUp.PHYS-RES XV	Skell Physical Res +15	4 Cinicula Shell	4 Ictus Shell	4 Golden Blatta Wing	1 Foucaultium																				
SpecUp.PHYS-RES XX	Skell Physical Res +20	5 Cinicula Shell	5 Ictus Shell	5 Golden Blatta Wing	1 Bonjelium																				
SpecUp.BEAM-RES I	Skell Beam Res +1	1 Lead Carapace	1 Ocher Stabilizer	1 Adsecula Gold Nugget	1 White Cometite																				
SpecUp.BEAM-RES V	Skell Beam Res +5	2 Lead Carapace	2 Ocher Stabilizer	2 Adsecula Gold Nugget	1 Dawnstone																				
SpecUp.BEAM-RES X	Skell Beam Res +10	3 Lead Carapace	3 Blue Milsaadi Hood	3 Pink Ceto Membrane	1 Everfreeze Ore																				
SpecUp.BEAM-RES XV	Skell Beam Res +15	4 Lead Carapace	4 Blue Milsaadi Hood	4 Pink Ceto Membrane	1 Foucaultium																				
SpecUp.BEAM-RES XX	Skell Beam Res +20	5 Lead Carapace	5 Blue Milsaadi Hood	5 Pink Ceto Membrane	1 Bonjelium																				
SpecUp.ELEC-RES I	Skell Electric Res +1	1 Squishy Cartilage	1 Stout Purgovent Extract	1 Lepyx Elastic Cell	1 White Cometite																				
SpecUp.ELEC-RES V	Skell Electric Res +5	2 Squishy Cartilage	2 Stout Purgovent Extract	2 Lepyx Elastic Cell	1 Dawnstone																				
SpecUp.ELEC-RES X	Skell Electric Res +10	3 Squishy Cartilage	3 Purple Scintimure Tentacle	3 Aeviter Membrane	1 Everfreeze Ore																				
SpecUp.ELEC-RES XV	Skell Electric Res +15	4 Squishy Cartilage	4 Purple Scintimure Tentacle	4 Aeviter Membrane	1 Foucaultium																				
SpecUp.ELEC-RES XX	Skell Electric Res +20	5 Squishy Cartilage	5 Purple Scintimure Tentacle	5 Aeviter Membrane	1 Bonjelium																				
SpecUp.THERM-RES I	Skell Thermal Res +1	1 Shiny Copper Caro Plate	1 Quo Pod	1 Potamus Life Lung	1 White Cometite																				
SpecUp.THERM-RES V	Skell Thermal Res +5	2 Shiny Copper Caro Plate	2 Quo Pod	2 Potamus Life Lung	1 Dawnstone																				
SpecUp.THERM-RES X	Skell Thermal Res +10	3 Shiny Copper Caro Plate	3 Scorching Giant Cells	3 Tersqual Fire Pouch	1 Everfreeze Ore																				
SpecUp.THERM-RES XV	Skell Thermal Res +15	4 Shiny Copper Caro Plate	4 Scorching Giant Cells	4 Tersqual Fire Pouch	1 Foucaultium																				
SpecUp.THERM-RES XX	Skell Thermal Res +20	5 Shiny Copper Caro Plate	5 Scorching Giant Cells	5 Tersqual Fire Pouch	1 Bonjelium																				
SpecUp.ETHER-RES I	Skell Ether Res +1	1 Opaque Mirror	1 Upgraded Sensor Part	1 Medicinal Blatta Oil	1 White Cometite																				
SpecUp.ETHER-RES V	Skell Ether Res +5	2 Opaque Mirror	2 Upgraded Sensor Part	2 Medicinal Blatta Oil	1 Dawnstone																				
SpecUp.ETHER-RES X	Skell Ether Res +10	3 Opaque Mirror	3 Red Milsaadi Hood	3 Gold Ceto Membrane	1 Everfreeze Ore																				
SpecUp.ETHER-RES XV	Skell Ether Res +15	4 Opaque Mirror	4 Red Milsaadi Hood	4 Gold Ceto Membrane	1 Foucaultium																				
SpecUp.ETHER-RES XX	Skell Ether Res +20	5 Opaque Mirror	5 Red Milsaadi Hood	5 Gold Ceto Membrane	1 Bonjelium																				
SpecUp.GRAV-RES I	Skell Gravity Res +1	1 Large Hoof	1 Genuine Plate	1 Tricolored Ovis Meat	1 White Cometite																				
SpecUp.GRAV-RES V	Skell Gravity Res +5	2 Large Hoof	2 Genuine Plate	2 Tricolored Ovis Meat	1 Dawnstone																				
SpecUp.GRAV-RES X	Skell Gravity Res +10	3 Large Hoof	3 Oc-serv Southern Crest	3 Oc-serv Eastern Crest	1 Everfreeze Ore																				
SpecUp.GRAV-RES XV	Skell Gravity Res +15	4 Large Hoof	4 Oc-serv Southern Crest	4 Oc-serv Eastern Crest	1 Foucaultium																				
SpecUp.GRAV-RES XX	Skell Gravity Res +20	5 Large Hoof	5 Oc-serv Southern Crest	5 Oc-serv Eastern Crest	1 Bonjelium																				
Resist.STAGGER I	Skell Break resistance +5	1 Scirpo Silk	-	-	1 Arc Sand Ore																				
Resist.STAGGER V	Skell Break resistance +25	2 Scirpo Silk	-	-	1 Lionbone Bort																				
Resist.STAGGER X	Skell Break resistance +50	3 Scirpo Silk	-	-	1 Enduron Lead																				
Resist.STAGGER XV	Skell Break resistance +75	4 Scirpo Silk	-	-	1 Boiled-Egg Ore																				
Resist.STAGGER XX	Skell Break resistance +100	5 Scirpo Silk	-	-	1 Marine Rutile																				
Resist.FLINCH I	Skell Flinch resistance +5	1 Taut Leather	-	-	1 Arc Sand Ore																				
Resist.FLINCH V	Skell Flinch resistance +25	2 Taut Leather	-	-	1 Lionbone Bort																				
Resist.FLINCH X	Skell Flinch resistance +50	3 Taut Leather	-	-	1 Enduron Lead																				
Resist.FLINCH XV	Skell Flinch resistance +75	4 Taut Leather	-	-	1 Boiled-Egg Ore																				
Resist.FLINCH XX	Skell Flinch resistance +100	5 Taut Leather	-	-	1 Marine Rutile																				
Resist.TOPPLE I	Skell Topple resistance +5	1 Auravis Croaking Bag	1 Smooth Tail Fin	-	1 Aurorite																				
Resist.TOPPLE V	Skell Topple resistance +25	2 Auravis Croaking Bag	2 Smooth Tail Fin	-	1 Infernium																				
Resist.TOPPLE X	Skell Topple resistance +50	3 Auravis Croaking Bag	3 Thick Coronid Hide	-	1 Cimmerian Cinnabar																				
Resist.TOPPLE XV	Skell Topple resistance +75	4 Auravis Croaking Bag	4 Thick Coronid Hide	-	1 Ouroboros Crystal																				
Resist.TOPPLE XX	Skell Topple resistance +100	5 Auravis Croaking Bag	5 Thick Coronid Hide	-	1 Parhelion Platinum																				
Resist.KNOCKBACK I	Skell Knockback resistance +5	1 Lovely Pom Pom	-	-	1 Arc Sand Ore																				
Resist.KNOCKBACK V	Skell Knockback resistance +25	2 Lovely Pom Pom	-	-	1 Lionbone Bort																				
Resist.KNOCKBACK X	Skell Knockback resistance +50	3 Lovely Pom Pom	-	-	1 Enduron Lead																				
Resist.KNOCKBACK XV	Skell Knockback resistance +75	4 Lovely Pom Pom	-	-	1 Boiled-Egg Ore																				
Resist.KNOCKBACK XX	Skell Knockback resistance +100	5 Lovely Pom Pom	-	-	1 Marine Rutile																				
Resist.LAUNCH I	Skell Launch resistance +5	1 Auravis Laughing Bag	1 Caecus Crest	-	1 Aurorite																				
Resist.LAUNCH V	Skell Launch resistance +25	2 Auravis Laughing Bag	2 Caecus Crest	-	1 Infernium																				
Resist.LAUNCH X	Skell Launch resistance +50	3 Auravis Laughing Bag	3 Red Filiavent Tentacle	-	1 Cimmerian Cinnabar																				
Resist.LAUNCH XV	Skell Launch resistance +75	4 Auravis Laughing Bag	4 Red Filiavent Tentacle	-	1 Ouroboros Crystal																				
Resist.LAUNCH XX	Skell Launch resistance +100	5 Auravis Laughing Bag	5 Red Filiavent Tentacle	-	1 Parhelion Platinum																				
Resist.STUN I	Skell Stun resistance +5	1 Upgraded Jammer	1 Smelly Fish Meat	-	1 Aurorite																				
Resist.STUN V	Skell Stun resistance +25	2 Upgraded Jammer	2 Smelly Fish Meat	-	1 Infernium																				
Resist.STUN X	Skell Stun resistance +50	3 Upgraded Jammer	3 Black Filiavent Tentacle	-	1 Cimmerian Cinnabar																				
Resist.STUN XV	Skell Stun resistance +75	4 Upgraded Jammer	4 Black Filiavent Tentacle	-	1 Ouroboros Crystal																				
Resist.STUN XX	Skell Stun resistance +100	5 Upgraded Jammer	5 Black Filiavent Tentacle	-	1 Parhelion Platinum																				
Resist.SLEEP I	Skell Sleep resistance +5	1 Musky Nectar	-	-	1 Arc Sand Ore																				
Resist.SLEEP V	Skell Sleep resistance +25	2 Musky Nectar	-	-	1 Lionbone Bort																				
Resist.SLEEP X	Skell Sleep resistance +50	3 Musky Nectar	-	-	1 Enduron Lead																				
Resist.SLEEP XV	Skell Sleep resistance +75	4 Musky Nectar	-	-	1 Boiled-Egg Ore																				
Resist.SLEEP XX	Skell Sleep resistance +100	5 Musky Nectar	-	-	1 Marine Rutile																				
Resist.TAUNT I	Skell Taunt resistance +5	1 Puge Self-Destruct Mechanism	-	-	1 Arc Sand Ore																				
Resist.TAUNT V	Skell Taunt resistance +25	2 Puge Self-Destruct Mechanism	-	-	1 Lionbone Bort																				
Resist.TAUNT X	Skell Taunt resistance +50	3 Puge Self-Destruct Mechanism	-	-	1 Enduron Lead																				
Resist.TAUNT XV	Skell Taunt resistance +75	4 Puge Self-Destruct Mechanism	-	-	1 Boiled-Egg Ore																				
Resist.TAUNT XX	Skell Taunt resistance +100	5 Puge Self-Destruct Mechanism	-	-	1 Marine Rutile																				
Resist.CONTROL I	Skell Control resistance +5	1 Cracked Claw	-	-	1 Arc Sand Ore																				
Resist.CONTROL V	Skell Control resistance +25	2 Cracked Claw	-	-	1 Lionbone Bort																				
Resist.CONTROL X	Skell Control resistance +50	3 Cracked Claw	-	-	1 Enduron Lead																				
Resist.CONTROL XV	Skell Control resistance +75	4 Cracked Claw	-	-	1 Boiled-Egg Ore																				
Resist.CONTROL XX	Skell Control resistance +100	5 Cracked Claw	-	-	1 Marine Rutile																				
Resist.VIRUS I	Skell Virus resistance +5	1 Lepyx Sunstone	-	-	1 Arc Sand Ore																				
Resist.VIRUS V	Skell Virus resistance +25	2 Lepyx Sunstone	-	-	1 Lionbone Bort																				
Resist.VIRUS X	Skell Virus resistance +50	3 Lepyx Sunstone	-	-	1 Enduron Lead																				
Resist.VIRUS XV	Skell Virus resistance +75	4 Lepyx Sunstone	-	-	1 Boiled-Egg Ore																				
Resist.VIRUS XX	Skell Virus resistance +100	5 Lepyx Sunstone	-	-	1 Marine Rutile																				
Resist.BLACKOUT I	Skell Blackout resistance +5	1 Dull Stone	-	-	1 Arc Sand Ore																				
Resist.BLACKOUT V	Skell Blackout resistance +25	2 Dull Stone	-	-	1 Lionbone Bort																				
Resist.BLACKOUT X	Skell Blackout resistance +50	3 Dull Stone	-	-	1 Enduron Lead																				
Resist.BLACKOUT XV	Skell Blackout resistance +75	4 Dull Stone	-	-	1 Boiled-Egg Ore																				
Resist.BLACKOUT XX	Skell Blackout resistance +100	5 Dull Stone	-	-	1 Marine Rutile																				
Resist.FATIGUE I	Skell Fatigue resistance +5	1 Red Blatta Wing	-	-	1 Arc Sand Ore																				
Resist.FATIGUE V	Skell Fatigue resistance +25	2 Red Blatta Wing	-	-	1 Lionbone Bort																				
Resist.FATIGUE X	Skell Fatigue resistance +50	3 Red Blatta Wing	-	-	1 Enduron Lead																				
Resist.FATIGUE XV	Skell Fatigue resistance +75	4 Red Blatta Wing	-	-	1 Boiled-Egg Ore																				
Resist.FATIGUE XX	Skell Fatigue resistance +100	5 Red Blatta Wing	-	-	1 Marine Rutile																				
Resist.SLOW-ARTS I	Skell Slow Arts resistance +5	1 Pristine Insect Leg	-	-	1 Arc Sand Ore																				
Resist.SLOW-ARTS V	Skell Slow Arts resistance +25	2 Pristine Insect Leg	-	-	1 Lionbone Bort																				
Resist.SLOW-ARTS X	Skell Slow Arts resistance +50	3 Pristine Insect Leg	-	-	1 Enduron Lead																				
Resist.SLOW-ARTS XV	Skell Slow Arts resistance +75	4 Pristine Insect Leg	-	-	1 Boiled-Egg Ore																				
Resist.SLOW-ARTS XX	Skell Slow Arts resistance +100	5 Pristine Insect Leg	-	-	1 Marine Rutile																				
Resist.PHYS-DOWN I	Skell Physical Res Down resistance +5	1 Tough Humpsteak	-	-	1 Arc Sand Ore																				
Resist.PHYS-DOWN V	Skell Physical Res Down resistance +25	2 Tough Humpsteak	-	-	1 Lionbone Bort																				
Resist.PHYS-DOWN X	Skell Physical Res Down resistance +50	3 Tough Humpsteak	-	-	1 Enduron Lead																				
Resist.PHYS-DOWN XV	Skell Physical Res Down resistance +75	4 Tough Humpsteak	-	-	1 Boiled-Egg Ore																				
Resist.PHYS-DOWN XX	Skell Physical Res Down resistance +100	5 Tough Humpsteak	-	-	1 Marine Rutile																				
Resist.BEAM-DOWN I	Skell Beam Res Down resistance +5	1 Duoguill Broth	-	-	1 Arc Sand Ore																				
Resist.BEAM-DOWN V	Skell Beam Res Down resistance +25	2 Duoguill Broth	-	-	1 Lionbone Bort																				
Resist.BEAM-DOWN X	Skell Beam Res Down resistance +50	3 Duoguill Broth	-	-	1 Enduron Lead																				
Resist.BEAM-DOWN XV	Skell Beam Res Down resistance +75	4 Duoguill Broth	-	-	1 Boiled-Egg Ore																				
Resist.BEAM-DOWN XX	Skell Beam Res Down resistance +100	5 Duoguill Broth	-	-	1 Marine Rutile																				
Resist.THERM-DOWN I	Skell Thermal Res Down resistance +5	1 Slimy Tongue	-	-	1 Arc Sand Ore																				
Resist.THERM-DOWN V	Skell Thermal Res Down resistance +25	2 Slimy Tongue	-	-	1 Lionbone Bort																				
Resist.THERM-DOWN X	Skell Thermal Res Down resistance +50	3 Slimy Tongue	-	-	1 Enduron Lead																				
Resist.THERM-DOWN XV	Skell Thermal Res Down resistance +75	4 Slimy Tongue	-	-	1 Boiled-Egg Ore																				
Resist.THERM-DOWN XX	Skell Thermal Res Down resistance +100	5 Slimy Tongue	-	-	1 Marine Rutile																				
Resist.ELEC-DOWN I	Skell Electric Res Down resistance +5	1 Blue Electrical Tentacle	-	-	1 Arc Sand Ore																				
Resist.ELEC-DOWN V	Skell Electric Res Down resistance +25	2 Blue Electrical Tentacle	-	-	1 Lionbone Bort																				
Resist.ELEC-DOWN X	Skell Electric Res Down resistance +50	3 Blue Electrical Tentacle	-	-	1 Enduron Lead																				
Resist.ELEC-DOWN XV	Skell Electric Res Down resistance +75	4 Blue Electrical Tentacle	-	-	1 Boiled-Egg Ore																				
Resist.ELEC-DOWN XX	Skell Electric Res Down resistance +100	5 Blue Electrical Tentacle	-	-	1 Marine Rutile																				
Resist.ETHER-DOWN I	Skell Ether Res Down resistance +5	1 Papil Straw	-	-	1 Arc Sand Ore																				
Resist.ETHER-DOWN V	Skell Ether Res Down resistance +25	2 Papil Straw	-	-	1 Lionbone Bort																				
Resist.ETHER-DOWN X	Skell Ether Res Down resistance +50	3 Papil Straw	-	-	1 Enduron Lead																				
Resist.ETHER-DOWN XV	Skell Ether Res Down resistance +75	4 Papil Straw	-	-	1 Boiled-Egg Ore																				
Resist.ETHER-DOWN XX	Skell Ether Res Down resistance +100	5 Papil Straw	-	-	1 Marine Rutile																				
Resist.GRAV-DOWN I	Skell Gravity Res Down resistance +5	1 Lepyx Jaw Meat	-	-	1 Arc Sand Ore																				
Resist.GRAV-DOWN V	Skell Gravity Res Down resistance +25	2 Lepyx Jaw Meat	-	-	1 Lionbone Bort																				
Resist.GRAV-DOWN X	Skell Gravity Res Down resistance +50	3 Lepyx Jaw Meat	-	-	1 Enduron Lead																				
Resist.GRAV-DOWN XV	Skell Gravity Res Down resistance +75	4 Lepyx Jaw Meat	-	-	1 Boiled-Egg Ore																				
Resist.GRAV-DOWN XX	Skell Gravity Res Down resistance +100	5 Lepyx Jaw Meat	-	-	1 Marine Rutile																				
Resist.TIME-BOMB I	Skell Countbomb resistance +5	1 Puge Counter	-	-	1 Arc Sand Ore																				
Resist.TIME-BOMB V	Skell Countbomb resistance +25	2 Puge Counter	-	-	1 Lionbone Bort																				
Resist.TIME-BOMB X	Skell Countbomb resistance +50	3 Puge Counter	-	-	1 Enduron Lead																				
Resist.TIME-BOMB XV	Skell Countbomb resistance +75	4 Puge Counter	-	-	1 Boiled-Egg Ore																				
Resist.TIME-BOMB XX	Skell Countbomb resistance +100	5 Puge Counter	-	-	1 Marine Rutile																				
Resist.DEBUFF-DOWN I	Skell Debuff Res Down resistance +5	1 Forfex Miso	-	-	1 Arc Sand Ore																				
Resist.DEBUFF-DOWN V	Skell Debuff Res Down resistance +25	2 Forfex Miso	-	-	1 Lionbone Bort																				
Resist.DEBUFF-DOWN X	Skell Debuff Res Down resistance +50	3 Forfex Miso	-	-	1 Enduron Lead																				
Resist.DEBUFF-DOWN XV	Skell Debuff Res Down resistance +75	4 Forfex Miso	-	-	1 Boiled-Egg Ore																				
Resist.DEBUFF-DOWN XX	Skell Debuff Res Down resistance +100	5 Forfex Miso	-	-	1 Marine Rutile																				
Resist.BLAZE I	Skell Blaze resistance +5	1 Vesper Fry	-	-	1 Arc Sand Ore																				
Resist.BLAZE V	Skell Blaze resistance +25	2 Vesper Fry	-	-	1 Lionbone Bort																				
Resist.BLAZE X	Skell Blaze resistance +50	3 Vesper Fry	-	-	1 Enduron Lead																				
Resist.BLAZE XV	Skell Blaze resistance +75	4 Vesper Fry	-	-	1 Boiled-Egg Ore																				
Resist.BLAZE XX	Skell Blaze resistance +100	5 Vesper Fry	-	-	1 Marine Rutile																				
Resist.SHOCK I	Skell Shock resistance +5	1 Fine Black Belt	-	-	1 Arc Sand Ore																				
Resist.SHOCK V	Skell Shock resistance +25	2 Fine Black Belt	-	-	1 Lionbone Bort																				
Resist.SHOCK X	Skell Shock resistance +50	3 Fine Black Belt	-	-	1 Enduron Lead																				
Resist.SHOCK XV	Skell Shock resistance +75	4 Fine Black Belt	-	-	1 Boiled-Egg Ore																				
Resist.SHOCK XX	Skell Shock resistance +100	5 Fine Black Belt	-	-	1 Marine Rutile																				
Damage.GP-GAIN I	15% gain 20 GP when Skell hit	1 Topaz Wine	1 Glowing Retina	1 Terebra Water Grease	1 White Cometite																				
Damage.GP-GAIN V	15% gain 100 GP when Skell hit	2 Topaz Wine	2 Glowing Retina	2 Terebra Water Grease	1 Dawnstone																				
Damage.GP-GAIN X	15% gain 200 GP when Skell hit	4 Topaz Wine	4 Silver Petramand Silk	4 Big Balaena Sand Bag	2 Everfreeze Ore																				
Damage.GP-GAIN XV	15% gain 300 GP when Skell hit	8 Topaz Wine	8 Silver Petramand Silk	8 Big Balaena Sand Bag	4 Foucaultium																				
Damage.GP-GAIN XX	15% gain 400 GP when Skell hit	16 Topaz Wine	16 Silver Petramand Silk	16 Big Balaena Sand Bag	8 Bonjelium																				
Damage.APPEND I	15% reduce Skell Appendage dmg by 10% when hit	1 Shiny Silver Caro Plate	-	-	1 Arc Sand Ore																				
Damage.APPEND V	15% reduce Skell Appendage dmg by 18% when hit	2 Shiny Silver Caro Plate	-	-	1 Lionbone Bort																				
Damage.APPEND X	15% reduce Skell Appendage dmg by 28% when hit	3 Shiny Silver Caro Plate	-	-	1 Enduron Lead																				
Damage.APPEND XV	15% reduce Skell Appendage dmg by 38% when hit	4 Shiny Silver Caro Plate	-	-	1 Boiled-Egg Ore																				
Damage.APPEND XX	15% reduce Skell Appendage dmg by 50% when hit	5 Shiny Silver Caro Plate	-	-	1 Marine Rutile																				
Jamming I	Skell homing attack evasion +10%	1 Silver Sacrifole Feather	-	-	1 Arc Sand Ore																				
Jamming V	Skell homing attack evasion +18%	2 Silver Sacrifole Feather	-	-	1 Lionbone Bort																				
Jamming X	Skell homing attack evasion +28%	3 Silver Sacrifole Feather	-	-	1 Enduron Lead																				
Jamming XV	Skell homing attack evasion +38%	4 Silver Sacrifole Feather	-	-	1 Boiled-Egg Ore																				
Jamming XX	Skell homing attack evasion +50%	5 Silver Sacrifole Feather	-	-	1 Marine Rutile																				
Reflect.DAMAGE-UP I	Skell reflect dmg +5%	1 Green Crystal	1 Diamond Seed	1 Cimmerian Pom Pom	1 White Cometite																				
Reflect.DAMAGE-UP V	Skell reflect dmg +25%	2 Odorous Tentacle	2 Iron Lump	2 Pristine Dorsal Fin	1 Dawnstone																				
Reflect.DAMAGE-UP X	Skell reflect dmg +50%	1 Yggralith Horn	3 Cloudy Gerrid Soup	3 Sabula Backbone	1 Everfreeze Ore																				
Reflect.DAMAGE-UP XV	Skell reflect dmg +75%	1 Yggralith Horn	4 Cloudy Gerrid Soup	4 Sabula Backbone	1 Foucaultium																				
Reflect.DAMAGE-UP XX	Skell reflect dmg +100%	1 Yggralith Horn	5 Cloudy Gerrid Soup	5 Sabula Backbone	1 Bonjelium																				
Cloak.SIGHT I	Enemy visual detection range reduced 2% in Skell	1 White Mirrorglass	1 Glossy Saltat Fan	-	1 Aurorite																				
Cloak.SIGHT V	Enemy visual detection range reduced 10% in Skell	2 White Mirrorglass	2 Glossy Saltat Fan	-	1 Infernium																				
Cloak.SIGHT X	Enemy visual detection range reduced 20% in Skell	3 White Mirrorglass	3 Luminescent Tail	-	1 Cimmerian Cinnabar																				
Cloak.SIGHT XV	Enemy visual detection range reduced 30% in Skell	4 White Mirrorglass	4 Luminescent Tail	-	1 Ouroboros Crystal																				
Cloak.SIGHT XX	Enemy visual detection range reduced 40% in Skell	5 White Mirrorglass	5 Luminescent Tail	-	1 Parhelion Platinum																				
Cloak.SOUND I	Enemy proxy detection range reduced 2% in Skell	1 Lightweight Pelt	1 Evolved Insidia Claw	-	1 Aurorite																				
Cloak.SOUND V	Enemy proxy detection range reduced 10% in Skell	2 Lightweight Pelt	2 Evolved Insidia Claw	-	1 Infernium																				
Cloak.SOUND X	Enemy proxy detection range reduced 20% in Skell	3 Lightweight Pelt	3 Gray Shell	-	1 Cimmerian Cinnabar																				
Cloak.SOUND XV	Enemy proxy detection range reduced 30% in Skell	4 Lightweight Pelt	4 Gray Shell	-	1 Ouroboros Crystal																				
Cloak.SOUND XX	Enemy proxy detection range reduced 40% in Skell	5 Lightweight Pelt	5 Gray Shell	-	1 Parhelion Platinum																				
Crush.GP I	Gain 50 GP when Skell destroys Appendage	1 Pristine Insect Jaw	1 Oc-serv Western Crest	1 Vesper Fry	1 White Cometite																				
Crush.GP V	Gain 90 GP when Skell destroys Appendage	2 Pristine Insect Jaw	2 Oc-serv Western Crest	2 Vesper Fry	1 Dawnstone																				
Crush.GP X	Gain 140 GP when Skell destroys Appendage	3 Pristine Insect Jaw	3 Golden Petramand Silk	3 Red Scintimure Tentacle	1 Everfreeze Ore																				
Crush.GP XV	Gain 190 GP when Skell destroys Appendage	4 Pristine Insect Jaw	4 Golden Petramand Silk	4 Red Scintimure Tentacle	1 Foucaultium																				
Crush.GP XX	Gain 250 GP when Skell destroys Appendage	5 Pristine Insect Jaw	5 Golden Petramand Silk	5 Red Scintimure Tentacle	1 Bonjelium																				
Spike.EVA I	1% chance to avoid Spike dmg in Skell	1 Adsecula Oil Drop	1 Ebony Evello Egg	1 Vesper Hair Clip	1 White Cometite																				
Spike.EVA V	5% chance to avoid Spike dmg in Skell	2 Adsecula Oil Drop	2 Ebony Evello Egg	2 Vesper Hair Clip	1 Dawnstone																				
Spike.EVA X	10% chance to avoid Spike dmg in Skell	3 Adsecula Oil Drop	3 Lava Crystal	3 Gularthian Flint	1 Everfreeze Ore																				
Spike.EVA XV	15% chance to avoid Spike dmg in Skell	4 Adsecula Oil Drop	4 Lava Crystal	4 Gularthian Flint	1 Foucaultium																				
Spike.EVA XX	20% chance to avoid Spike dmg in Skell	5 Adsecula Oil Drop	5 Lava Crystal	5 Gularthian Flint	1 Bonjelium																				
Weather.FOG-RES	Skell ignores effects of Fog	1 Vibrant Plume	-	-	1 Arc Sand Ore																				
Weather.HEAVY-RAIN-RES	Skell ignores effects of Downpour	1 Medicinal Blatta Oil	-	-	1 Arc Sand Ore																				
Weather.S-STORM-RES	Skell ignores effects of Sandstorm	1 Alluring Papil Scales	-	-	1 Arc Sand Ore																				
Weather.EM-STORM-RES	Skell ignores effects of EM Storm	1 Slender Horn	-	-	1 Arc Sand Ore																				
Weather.E-MIST-RES	Skell ignores effects of F-Particles	1 Dried Seaweed Lichen	-	-	1 Arc Sand Ore																				
Weather.RISING-E-MIST-RES	Skell ignores effects of R-Particles	1 Rough Skin	-	-	1 Arc Sand Ore																				
Weather.SPORE-RES	Skell ignores effects of Spores	1 Viscous Humor	-	-	1 Arc Sand Ore																				
Weather.DAMAGE-RES I	Reduce weather dmg 5% in Skell	1 Blue Forfex Shell	1 Auravis Courtship Feather	-	1 Aurorite																				
Weather.DAMAGE-RES V	Reduce weather dmg 25% in Skell	2 Blue Forfex Shell	2 Auravis Courtship Feather	-	1 Infernium																				
Weather.DAMAGE-RES X	Reduce weather dmg 50% in Skell	3 Blue Forfex Shell	3 Blue Vigent Rock Scalp	-	1 Cimmerian Cinnabar																				
Weather.DAMAGE-RES XV	Reduce weather dmg 75% in Skell	4 Blue Forfex Shell	4 Blue Vigent Rock Scalp	-	1 Ouroboros Crystal																				
Weather.DAMAGE-RES XX	Reduce weather dmg 100% in Skell	5 Blue Forfex Shell	5 Blue Vigent Rock Scalp	-	1 Parhelion Platinum																				
Boost.HP-MAX I	Skell Max HP +5%	1 Redwood Aprica Antlers	1 Raw Meaty Caecus Liver	1 Succulent Meat	1 White Cometite																				
Boost.HP-MAX V	Skell Max HP +9%	2 Redwood Aprica Antlers	2 Raw Meaty Caecus Liver	2 Succulent Meat	1 Dawnstone																				
Boost.HP-MAX X	Skell Max HP +14%	8 Redwood Aprica Antlers	8 Golden Cantor Tooth	8 Big Balaena Water Bag	2 Everfreeze Ore																				
