Name	Genus	Type	Continent	Location	Lv	Exp	HP	M.Pow	M.Acc	R.Pow	R.Acc	Pot.	Eva	Res		Drops~								Wep	Armor	SkellWep	SkellArmr	Tyrant
				n=night, hi/lo=high/low, air=flying around, wait=doesn't appear immediately										Phys/Beam/Eth/Heat/Elec/Grav										Gear Drops (click link for more details)			
Deadland Caro	Caro	Theroid	Cauldros	502E,M'gandobaseN	51~60	424~546	79698~93265	777~969	250~287	651~811	221~254	723~902	161~199	0/0/-25/-50/0/0		Pure White Caro Tusk	Caro Tail Light	Shiny Copper Caro Plate	Slimy Tongue	Taut Leather	---	---		---	ME - L	---	---
Kringe, the Hunting Arrow	Caro	Theroid	Cauldros	504NW	40	427	130175	593	220	496	194	552	126	5/5/-20/-45/5/5		Pure White Caro Tusk	Caro Tail Light	Shiny Copper Caro Plate	Slimy Tongue	Taut Leather	---	---		---	ME - L	---	---	Y
Spaniel, the Obedient	Caro	Theroid	Cauldros	[5:00~0:00]: 511NW	40	256	110648	593	220	496	194	552	126	5/5/-20/-45/5/5		Pure White Caro Tusk	Caro Tail Light	Shiny Silver Caro Plate	Slimy Tongue	Taut Leather	---	---		---	ME - L	---	---	Y
Legion Caro	Caro	Theroid	Cauldros	[5:00~0:00]: 511NW	31~40	121~171	34129~49176	413~564	182~210	346~473	160~185	385~525	92~120	0/0/-25/-50/0/0		Pure White Caro Tusk	Caro Tail Light	Shiny Black Caro Plate	Slimy Tongue	Taut Leather	---	---		---	ME - L	---	---
Arc Caro	Caro	Theroid	Cauldros	511/NW,Wildcat Fortress	41~50	179~247	54927~66463	583~756	213~246	489~633	187~217	543~704	123~157	0/0/-25/-50/0/0		Pure White Caro Tusk	Caro Tail Light	Shiny Black Caro Plate	Slimy Tongue	Taut Leather	---	---		---	ME - L	---	---
Lost Caro	Caro	Theroid	Cauldros	Old Ceremonial Hollow, Bestial Utopia	51~70	255~428	67743~92090	777~1179	250~297	651~988	221~263	723~1097	161~210	0/0/-25/-50/0/0		Pure White Caro Tusk	Caro Tail Light	Shiny Black Caro Plate	Slimy Tongue	Taut Leather	---	---		---	ME - L	---	---
Volcannon Vigent	Vigent	Theroid	Cauldros	503SE,504NE,509SE,Kitsune Stronghold	51~70	1333~2244	518037~704223	1579~2395	256~304	1283~1946	227~270	1316~1996	154~200	0/-50/-25/0/0/0		Vigent Blood	Black Vigent Rock Scalp	Quality Vigent Claw	Warrior Race's Seal	Rugged Skin	---	---		---	GG - H	17	---
Vainamo, the Bellower	Vigent	Theroid	Cauldros	511N	39	1929	1362183	1746	222	1417	196	1455	117	5/-45/-20/5/5/5		Vigent Blood	Black Vigent Rock Scalp	Quality Vigent Claw	Warrior Race's Seal	Rugged Skin	---	---		---	GG - H	17	---	Y
Toy Monoceros	Monoceros	Theroid	Cauldros	505NW	1~10	19~53	1646~9388	32~112	107~126	32~115	102~120	33~118	15~34	0/0/-25/-50/0/0		Monoceros Hoof Hook	Gold Monoceros Horn	Monoceros Wing	Slender Horn	Worn Muscle Fiber	---	---		〇	---	---	---
Monoceros Colt	Monoceros	Theroid	Cauldros	502,503(hi),512NW	21~30	106~175	23265~39631	237~350	148~179	244~359	143~174	250~369	57~89	0/0/-25/-50/0/0		Monoceros Hoof Hook	Gold Monoceros Horn	Monoceros Wing	Slender Horn	Worn Muscle Fiber	---	---		〇	---	---	---
Uluora, the Burgeoning	Monoceros	Theroid	Cauldros	503(hi)	22	170	55312	263	158	269	152	277	62	5/5/-20/-45/5/5		Monoceros Hoof Hook	Gold Monoceros Horn	Monoceros Wing	Slender Horn	Worn Muscle Fiber	---	---		〇	---	---	---	Y
Cliff Monoceros	Monoceros	Theroid	Cauldros	502,515NW	31~40	255~362	51661~72319	498~681	182~210	511~698	177~205	525~717	92~120	0/0/-25/-50/0/0		Monoceros Hoof Hook	Brown Monoceros Horn	Monoceros Wing	Slender Horn	Worn Muscle Fiber	---	---		〇	---	---	---
Land Monoceros	Monoceros	Theroid	Cauldros	512NW	41~50	378~521	80776~97740	703~912	213~246	722~935	208~240	741~960	123~157	0/0/-25/-50/0/0		Monoceros Hoof Hook	Brown Monoceros Horn	Monoceros Wing	Slender Horn	Worn Muscle Fiber	---	---		〇	---	---	---
Volcannon Monoceros	Monoceros	Theroid	Cauldros	M'gandobaseE	51~60	537~692	99622~116581	937~1168	250~287	961~1198	244~281	987~1230	161~199	0/0/-25/-50/0/0		Monoceros Hoof Hook	Brown Monoceros Horn	Monoceros Wing	Slender Horn	Worn Muscle Fiber	---	---		〇	---	---	---
Dawid, the Destrier	Monoceros	Theroid	Cauldros	503(hi)	44	637	194470	810	233	831	228	853	139	5/5/-20/-45/5/5		Monoceros Hoof Hook	Brown Monoceros Horn	Monoceros Wing	Slender Horn	Worn Muscle Fiber	---	---		〇	---	---	---	Y
Grand Cantor	Cantor	Theroid	Cauldros	502E,504NW,M'gandopeak	51~60	1273~1638	497952~582720	1446~1803	237~273	1446~1803	233~268	1315~1639	150~185	0/0/-25/-50/0/0		Hidden Cantor Hoard	Luminescent Tail	Golden Cantor Tooth	Muscled Cantor Bulge	Squishy Cartilage	Slimy Epithelium	---		〇	SA - M	---	---
Conjurer Cervus	Cervus	Theroid	Cauldros	Bestial Utopia	51~70	566~952	91174~123943	962~1459	244~290	1011~1533	239~285	987~1497	161~210	0/0/-25/-50/0/0		Lucky Cervus Sapling	Longevity Bough	Purple Cervus Horn	Large Hoof	Supple Leather	---	---		---	GG - L	---	---
Cowardly Caecus	Caecus	Theroid	Cauldros	503E	1~10	10~29	1399~7979	34~118	102~119	35~124	100~118	34~118	14~31	0/0/-25/-50/0/0		Black Meaty Caecus Liver	Caecus Crest	Bone-In Thigh Meat	Squishy Cartilage	Slimy Epithelium	---	---		---	SA - B	---	---
Thug Caecus	Caecus	Theroid	Cauldros	502N(hi)	11~20	51~88	10326~21974	128~225	121~139	135~236	120~138	128~225	33~50	0/0/-25/-50/0/0		Black Meaty Caecus Liver	Caecus Crest	Bone-In Thigh Meat	Squishy Cartilage	Slimy Epithelium	---	---		---	SA - B	---	---
Precipice Caecus	Caecus	Theroid	Cauldros	508SW,509(hi),511	31~40	163~231	41329~57855	385~525	173~199	404~552	173~200	385~525	83~109	0/0/-25/-50/0/0		Black Meaty Caecus Liver	Caecus Crest	Bone-In Thigh Meat	Squishy Cartilage	Slimy Epithelium	---	---		---	SA - B	---	---
Land Caecus	Caecus	Theroid	Cauldros	508SW,511	41~50	145~200	54927~66463	543~704	202~234	570~739	203~235	543~704	112~142	0/0/-25/-50/0/0		Black Meaty Caecus Liver	Caecus Crest	Bone-In Thigh Meat	Squishy Cartilage	Slimy Epithelium	---	---		---	SA - B	---	---
Pelicollo, the Panzer	Caecus	Theroid	Cauldros	508SW	36	413	141280	661	197	693	197	661	102	5/5/-20/-45/5/5		Black Meaty Caecus Liver	Caecus Crest	Bone-In Thigh Meat	Squishy Cartilage	Slimy Epithelium	---	---		---	SA - B	---	---	Y
Burst Jacul	Jacul	Theroid	Cauldros	504E(skywalk),509(skywalk),isleWof501	31~40	242~343	45186~63255	511~698	178~205	537~734	177~205	525~717	92~120	0/0/-25/-50/0/-25		Fertilized Jacul Egg	Jacul Waterfall Orb	Jacul Horn	Blue Jacul Wing	Cracked Bill	Filthy Wing	---		〇	CC - H	---	---
Storm Jacul	Jacul	Theroid	Cauldros	503SE,M'gando/E(hi)	41~50	358~494	70652~85489	722~935	208~240	759~983	208~240	741~960	123~157	0/0/-25/-50/0/-25		Fertilized Jacul Egg	Jacul Waterfall Orb	Jacul Horn	Blue Jacul Wing	Cracked Bill	Filthy Wing	---		〇	CC - H	---	---
Tornado Jacul	Jacul	Theroid	Cauldros	507,M'gando/E(hi)	51~60	509~655	87136~101969	961~1198	244~280	1011~1260	244~281	987~1230	161~199	0/0/-25/-50/0/-25		Fertilized Jacul Egg	Jacul Waterfall Orb	Jacul Horn	Blue Jacul Wing	Cracked Bill	Filthy Wing	---		〇	CC - H	---	---
Jia Mian, the Beloved	Jacul	Theroid	Cauldros	M'gandoE(hi)	50	2379	1538816	1964	252	2064	252	2016	165	5/5/-20/-45/5/-20		Fertilized Jacul Egg	Jacul Waterfall Orb	Jacul Horn	Blue Jacul Wing	Cracked Bill	Filthy Wing	---		〇	CC - H	---	---	Y
Silent Murra	Murra	Theroid	Cauldros	White Phosphor Lake	21~30	106~175	21326~36328	250~369	145~175	275~406	143~174	250~369	61~95	0/0/-25/-50/0/-25		Multicolor Murra Wing	Brilliant Murra Liquid	Black Fog Deposits	Supple Leather	---	---	---		〇	SA - B	---	---
Lawless Mephite	Mephite	Theroid	Cauldros	502NE,504(hi),blackgate	31~40	109~155	33665~47127	346~473	178~205	404~552	173~200	385~525	99~129	0/0/-25/-50/0/0		Mephite Stinkbag	Golden Puff	Mephite Ear Hair	Lightweight Pelt	Fleecy Fur	---	---		〇	---	---	---
Evil Mephite	Mephite	Theroid	Cauldros	511,Kw'arah Cloister	41~50	162~223	52638~63693	489~633	208~240	570~739	203~235	543~704	132~168	0/0/-25/-50/0/0		Mephite Stinkbag	Golden Puff	Mephite Ear Hair	Lightweight Pelt	Fleecy Fur	---	---		〇	---	---	---
Strange Saltat	Saltat	Theroid	Cauldros	502SE (Clear)	31~40	192~272	41329~57855	375~512	178~205	375~512	173~200	385~525	88~115	0/0/-25/-50/0/0		Saltat Horn	Golden Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---
Gypsy Saltat	Saltat	Theroid	Cauldros	509SE (Clear)	41~50	284~392	64621~78192	529~686	208~240	529~686	203~235	543~704	118~150	0/0/-25/-50/0/0		Saltat Horn	Golden Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---
Island Saltat	Saltat	Theroid	Cauldros	505NW (Clear, Replaces Rust Blatta)	11~20	61~106	10756~22890	128~225	128~146	128~225	123~141	128~225	35~54	0/0/-25/-50/0/0		Saltat Horn	Demonic Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---
Crest Saltat	Saltat	Theroid	Cauldros	M'gandoE (Clear, hi)	41~50	290~400	67313~81450	543~704	213~246	543~704	208~240	543~704	120~153	0/0/-25/-50/0/0		Saltat Horn	Demonic Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---
Cloud Saltat	Saltat	Theroid	Cauldros	M'gandoE (Rainbow, hi)	51~60	412~530	83018~97151	723~902	250~287	723~902	244~281	723~902	157~194	0/0/-25/-50/0/0		Saltat Horn	Demonic Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---
Zorn, the Wanderer	Saltat	Theroid	Cauldros	Old Ceremonial Hollow (Rainbow)	56	710	204421	863	284	863	278	863	187	5/5/-20/-45/5/5		Saltat Horn	Demonic Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---	Y
Loser Saltat	Saltat	Theroid	Cauldros	Randomly replaces Strange Saltats (Clear)	31~40	204~288	51661~72319	423~578	195~225	423~578	190~220	385~525	96~126	0/0/-25/-50/0/0		Saltat Horn	Galaxial Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---
Dim Saltat	Saltat	Theroid	Cauldros	Randomly replaces Strange Saltats (Clear)	31~40	200~283	46495~65087	404~552	186~215	404~552	181~210	385~525	92~120	0/0/-25/-50/0/0		Saltat Horn	Sky Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---
Cage Saltat	Saltat	Theroid	Cauldros	Randomly replaces Gypsy Saltats (Clear)	41~50	295~408	72698~87966	570~739	218~252	570~739	213~246	543~704	123~157	0/0/-25/-50/0/0		Saltat Horn	Sky Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---
Crater Saltat	Saltat	Theroid	Cauldros	Randomly replaces Gypsy Saltats (Clear)	41~50	301~416	80776~97740	597~774	228~264	597~774	223~258	543~704	129~165	0/0/-25/-50/0/0		Saltat Horn	Galaxial Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---
Companion Potamus	Potamus	Theroid	Cauldros	502NE,503SE,509(hi),Ganglion Antropolis	31~40	192~272	43051~60266	394~538	178~205	394~538	173~200	385~525	79~103	0/0/-25/-50/0/0		Potamus Life Lung	Hot Potamus Juice	Hulking Incisor	Succulent Meat	Muddy Pelt	---	---		---	SA - B	---	---
Rodriguez, the Twin-Tusked	Potamus	Theroid	Cauldros	503E	35	336	113407	480	199	480	194	468	94	5/5/-20/-45/5/5		Potamus Life Lung	Hot Potamus Juice	Hulking Incisor	Succulent Meat	Muddy Pelt	---	---		---	SA - B	---	---	Y
Volcannon Tersqual	Tersqual	Theroid	Cauldros	504E,506,512NW(lo),Sunset Falls	51~60	1273~1638	478185~559588	1512~1884	256~294	1512~1884	250~288	1315~1639	130~161	0/0/-25/10/-25/0		Tersqual Fire Pouch	Tersqual Eel Kebab	Brilliant Tersqual Liquid	Juicy Wild Meat	Rough Skin	---	---		---	SS - M	---	---
Agnes, the Divine-Scaled	Tersqual	Theroid	Cauldros	506S	67	4475	2335904	3418	316	3418	310	2972	175	5/5/-20/15/-20/5		Tersqual Fire Pouch	Tersqual Eel Kebab	Brilliant Tersqual Liquid	Juicy Wild Meat	Rough Skin	---	---		---	SS - M	---	---	Y
Thulium Petramand	Petramand	Insectoid	Cauldros	501S	11~20	80~138	9405~20015	184~322	131~150	166~292	120~138	175~307	33~50	35/0/-25/-25/0/0		Rainbow Metal	Malevolent Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---
Samarium Petramand	Petramand	Insectoid	Cauldros	508SW,509(hi)	31~40	255~362	37644~52696	551~752	186~215	498~681	173~200	525~717	83~109	35/0/-25/-25/0/0		Rainbow Metal	Malevolent Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---
Gadolinium Petramand	Petramand	Insectoid	Cauldros	504SW(hi),508SW,Sunset Falls,Kw'arah Cloister	41~50	378~521	58859~71219	778~1008	218~252	703~912	203~235	741~960	112~142	35/0/-25/-25/0/0		Rainbow Metal	Malevolent Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---
Erbium Petramand	Petramand	Insectoid	Cauldros	509SE,M'gando	51~60	537~692	72591~84949	1036~1291	256~294	937~1168	239~275	987~1230	146~180	35/0/-25/-25/0/0		Rainbow Metal	Malevolent Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---
Eisen, the Ebon Rock	Petramand	Insectoid	Cauldros	[19:00~5:00]: 509NW	51	1725	783907	1448	268	1311	250	1380	153	40/5/-20/-20/5/5		Rainbow Metal	Malevolent Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA -Sk	17	---	Y
Praseodymium Petramand	Petramand	Insectoid	Cauldros	Old Ceremonial Hollow	21~30	64~105	14409~24545	239~352	152~183	215~318	140~170	227~335	52~80	35/0/-25/-25/0/0		Rainbow Metal	Black Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---
Truppe, the Ceaseless Dark	Petramand	Insectoid	Cauldros	[19:00~5:00]: Old Ceremonial Hollow	53	364	115255	763	277	691	259	727	161	40/5/-20/-20/5/5		Rainbow Metal	Black Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---	Y
Dysprosium Petramand	Petramand	Insectoid	Cauldros	505,506,Infernal Ledges	31~40	255~362	37644~52696	551~752	186~215	498~681	173~200	525~717	83~109	35/-25/-25/0/0/0		Rainbow Metal	Black Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---
Terbium Petramand	Petramand	Insectoid	Cauldros	506,Sunset Falls	41~50	378~521	58859~71219	778~1008	218~252	703~912	203~235	741~960	112~142	35/-25/-25/0/0/0		Rainbow Metal	Black Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---
Lutetium Petramand	Petramand	Insectoid	Cauldros	509NW	51~60	537~692	72591~84949	1036~1291	256~294	937~1168	239~275	987~1230	146~180	35/-25/-25/0/0/0		Rainbow Metal	Black Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---
Piernus, the Scorcher	Petramand	Insectoid	Cauldros	[5:00~19:00]: 509NW	57	3051	1454800	2532	295	2290	276	2412	177	40/-20/-20/5/5/5		Rainbow Metal	Black Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---	Y
Lava Cinicula	Cinicula	Insectoid	Cauldros	M'gandobaseE	40~50	1278~1764	551750~667622	1777~2304	197~228	1777~2304	192~223	1482~1920	76~97	35/-25/-25/0/0/0		Maple Oil	Thick Cinicula Horn	Giant Cinicula Jaw	Cinicula Shell	Refined Horn	Gooey Gunge	---		---	SA - M	15	---
Calore, the Lava Walker	Cinicula	Insectoid	Cauldros	503S(lo)	62	2484	1110197	2152	281	2152	276	1793	130	40/-25/-25/50/0/0		Maple Oil	Thick Cinicula Horn	Giant Cinicula Jaw	Cinicula Shell	Refined Horn	Gooey Gunge	---		---	SA - M	15	---	Y
Volcannon Cinicula	Cinicula	Insectoid	Cauldros	506,Titan's Table(lo)	51~60	1818~2340	680481~796321	2368~2952	231~266	2368~2952	227~261	1974~2460	100~123	35/-25/-25/0/0/0		Maple Oil	Thick Cinicula Horn	Giant Cinicula Jaw	Cinicula Shell	Refined Horn	Gooey Gunge	---		---	SA - M	15	---
Yellow Arenatect	Arenatect	Insectoid	Cauldros	White Phosphor Lake	21~30	157~258	22412~38178	393~579	134~161	376~554	129~157	342~504	55~85	35/0/-25/-25/0/0		Red Brandy	Eternal Arenatect Moss	Arenatect Shell	Luminescent Antenna	Blue Fungi	Viscous Humour	---		---	ME - M	---	---
Prinsipe, the Ravenous	Blatta	Insectoid	Cauldros	[19:00~5:00]: 507NW - Mining Frigate	44	173	96284	512	227	512	222	569	133	25/5/-20/-20/5/5		Medicinal Blatta Oil	Green Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---	Y
Camus, the Treasured	Blatta	Insectoid	Cauldros	Bestial Utopia	46~50	788~898	100483~108882	602~672	235~252	602~672	229~246	602~672	154~173	25/5/-20/-20/5/5		Golden Chalice	Medicinal Blatta Oil	Golden Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---		〇	---	---	---	Y
Natt, the Inestimable	Blatta	Insectoid	Cauldros	507	41~45	650~760	89985~98381	518~595	218~231	518~585	213~225	518~585	136~150	25/5/-20/-20/5/5		Golden Chalice	Medicinal Blatta Oil	Golden Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---		〇	---	---	---	Y
Flume Blatta	Blatta	Insectoid	Cauldros	502E,Titan's Table(lo)	31~40	69~98	25589~35822	315~430	178~205	315~430	173~200	350~478	88~115	20/0/-25/-25/0/0		Medicinal Blatta Oil	Black Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Seeker Blatta	Blatta	Insectoid	Cauldros	M'gandobaseE	41~50	102~141	40011~48413	444~576	208~240	444~576	203~235	494~640	118~150	20/0/-25/-25/0/0		Medicinal Blatta Oil	Black Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Sonic Blatta	Blatta	Insectoid	Cauldros	507NW/(skywalk),509SE,M'gando	51~60	145~187	49346~57746	592~738	244~280	592~738	239~275	658~820	154~190	20/0/-25/-25/0/0		Medicinal Blatta Oil	Black Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Coal Blatta	Blatta	Insectoid	Cauldros	[19:00~5:00]: 507	41~50	102~141	40011~48413	444~576	208~240	444~576	203~235	494~640	118~150	20/0/-25/-25/0/0		Medicinal Blatta Oil	Green Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Vampire Blatta	Blatta	Insectoid	Cauldros	504,506,508WSW,515NW	31~40	69~98	25589~35822	332~454	178~205	332~454	173~200	350~478	88~115	20/0/-25/-25/0/0		Medicinal Blatta Oil	Red Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Hellion Blatta	Blatta	Insectoid	Cauldros	504,506,507	41~50	102~141	40011~48413	469~608	208~240	469~608	203~235	494~640	118~150	20/0/-25/-25/0/0		Medicinal Blatta Oil	Red Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Mirror Blatta	Blatta	Insectoid	Cauldros	Bestial Utopia	51~70	145~245	49346~67081	592~898	244~290	592~898	239~285	658~998	161~210	20/0/-25/-25/0/0		Medicinal Blatta Oil	Silver Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Rust Blatta	Blatta	Insectoid	Cauldros	505NW (Not Clear)	1~10	7~20	1019~5813	27~97	105~123	27~97	100~118	31~108	15~33	20/0/-25/-25/0/0		Medicinal Blatta Oil	Black Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Adonis Turba	Turba	Insectoid	Cauldros	507,509(skywalk)	31~40	154~218	29274~40981	385~525	182~210	365~499	173~200	385~525	89~117	35/0/-25/-25/0/-25		Black Turba Nectar	Turba Straw	Poisonous Needle	Small Insect Leg	Broken Antenna	---	---		〇	SA - Sk	---	---
Mirage Adsecula	Adsecula	Insectoid	Cauldros	M'gandobaseE	41~50	227~314	45773~55386	516~669	208~240	516~668	203~235	543~704	123~57	35/0/-25/-25/0/-25		Adsecula Oil Drop	Adsecula Straw	Poisonous Needle	Small Insect Leg	Tatty Insect Wing	---	---		〇	OR - H	---	---
Dry Papil	Papil	Insectoid	Cauldros	509(hi)	31~40	92~131	24882~34833	365~499	178~205	385~525	181~210	385~525	89~117	35/0/-25/-25/0/-25		Flowering Papil Scales	Papil Straw	Poisonous Needle	Musky Nectar	Viscous Humour	---	---		〇	SA - M	---	---
Crazed Germivore	Germivore	Insectoid	Cauldros	516	11~20	27~47	6393~13605	111~194	118~135	111~194	114~131	117~205	38~58	35/0/-25/-25/0/0		Sharp Germivore Jaw	Shed Germivore Scales	Insect Jaw	Sticky Mucus	---	---	---		〇	SS - H	---	---
Mist Germivore	Germivore	Insectoid	Cauldros	509(hi)	31~40	86~122	25589~35822	332~454	169~194	332~454	164~190	350~478	96~126	35/0/-25/-25/0/0		Sharp Germivore Jaw	Shed Germivore Scales	Insect Jaw	Sticky Mucus	---	---	---		〇	SS - H	---	---
Warlord Ictus	Ictus	Insectoid	Cauldros	509(hi)	31~40	634~898	227308~318201	839~1146	213~246	769~1050	173~200	734~1002	88~115	35/0/-25/-25/0/0		Lone Red Ictus Stinger	Ictus Shell	Pristine Insect Jaw	Lead Carapace	---	---	---		〇	SA - L	---	---
Daimyo Ictus	Ictus	Insectoid	Cauldros	M'Gando - Outside the Bestial Utopia entrance	51~60	1333~1716	438336~512956	1578~1967	292~336	1446~1803	239~275	1380~1720	154~190	35/0/-25/-25/0/0		Lone Red Ictus Stinger	Ictus Shell	Pristine Insect Jaw	Lead Carapace	---	---	---		〇	SA - L	---	---
Terenty, the Blademaster	Ictus	Insectoid	Cauldros	M'gandobaseW	72	5283	2296192	3908	367	3580	301	3418	212	40/5/-20/-20/5/5		Lone Red Ictus Stinger	Ictus Shell	Pristine Insect Jaw	Lead Carapace	---	---	---		〇	SA - L	---	---	Y
Bluff Gerrid	Gerrid	Insectoid	Cauldros	504SE,506	31~40	202~286	46480~65068	422~577	195~225	384~525	190~220	422~577	92~120	0/0/-25/-50/0/0		Clear Gerrid Soup	Gerrid Shell	Gerrid Navel	Odorous Tentacle	Active Cells	Lead Carapace	---		---	ME - L	---	---
Land Gerrid	Gerrid	Insectoid	Cauldros	504,506	41~50	417~576	90846~109924	815~1056	228~264	741~960	223~258	815~1056	123~157	0/0/-25/-50/0/0		Clear Gerrid Soup	Gerrid Shell	Gerrid Navel	Odorous Tentacle	Active Cells	Lead Carapace	---		---	ME - L	---	---
Bartley, the Conflagration	Gerrid	Insectoid	Cauldros	504SE	31	301	104562	444	205	403	199	444	96	5/5/-20/-45/5/5		Clear Gerrid Soup	Gerrid Shell	Gerrid Navel	Odorous Tentacle	Active Cells	Lead Carapace	---		---	ME - L	---	---	Y
Aquatic Sacrifole	Sacrifole	Insectoid	Cauldros	515	21~30	112~184	16964~28897	250~369	145~175	250~369	140~170	250~369	56~87	40/0/-25/-25/0/-25		Diamond Seed	Spicy Sacrifole Pollen	Silver Sacrifole Feather	Shimmering Silk	Scratched Jewel	---	---		〇	OR - L	---	---
Puddle Sacrifole	Sacrifole	Insectoid	Cauldros	502E,515NW	31~40	192~272	30135~42186	385~525	178~205	385~525	173~200	385~525	90~117	40/0/-25/-25/0/-25		Diamond Seed	Spicy Sacrifole Pollen	Silver Sacrifole Feather	Shimmering Silk	Scratched Jewel	---	---		〇	OR - L	---	---
Foul Sacrifole	Sacrifole	Insectoid	Cauldros	Bestial Utopia	51~70	404~680	58113~78999	723~1097	244~290	723~1097	239~285	723~1097	157~205	40/0/-25/-25/0/-25		Diamond Seed	Spicy Sacrifole Pollen	Silver Sacrifole Feather	Shimmering Silk	Scratched Jewel	---	---		〇	OR - L	---	---
Angelita, the Blade Bouquet	Sacrifole	Insectoid	Cauldros	M'gandopeak	61	804	155430	965	295	965	289	965	205	45/5/-20/-20/5/-20		Diamond Seed	Spicy Sacrifole Pollen	Silver Sacrifole Feather	Shimmering Silk	Scratched Jewel	---	---		〇	OR - L	---	---	Y
Lava Sacrifole	Sacrifole	Insectoid	Cauldros	505	41~50	284~392	47119~57015	543~704	208~240	543~704	203~235	543~704	120~153	40/-25/-25/0/0/-25		Diamond Seed	Spicy Sacrifole Pollen	Crimson Sacrifole Feather	Shimmering Silk	Scratched Jewel	---	---		〇	OR - L	---	---
Vegetal, the Heatcrux	Sacrifole	Insectoid	Cauldros	506	49	798	157198	978	247	978	242	978	157	45/-20/-20/5/5/-20		Diamond Seed	Spicy Sacrifole Pollen	Crimson Sacrifole Feather	Shimmering Silk	Scratched Jewel	---	---		〇	OR - L	---	---	Y
Volcannon Sacrifole	Sacrifole	Insectoid	Cauldros	[5:00~19:00]: 503SE	41~50	284~392	47119~57015	543~704	208~240	543~704	203~235	543~704	120~153	40/0/-25/-25/0/-25		Diamond Seed	Spicy Sacrifole Pollen	Silver Sacrifole Feather	Shimmering Silk	Scratched Jewel	---	---		〇	OR - L	---	---
Nipopon Incarnate	Lophid	Piscinoid	Cauldros	The Divine Nopopon	56	617	99796	1290	250	1093	246	1122	195	0/0/-25/0/-50/-25		---	---	---	---	---	---	---					
Flame Lophid	Lophid	Piscinoid	Cauldros	505	31~40	547~775	227310~318205	805~1099	169~194	682~932	164~190	700~956	99~129	0/0/-25/0/-50/-25		Large Lophid Liver	Alluring Lophid Extract	Spiked Tail Fin	Lophid Jaw Meat	Quirky Liver	Smelly Fish Meat	---		---	CC - L	6	---
Blast Lophid	Lophid	Piscinoid	Cauldros	504E,506	41~50	809~1117	355416~430056	1136~1472	197~228	963~1248	192~223	988~1280	132~168	0/0/-25/0/-50/-25		Large Lophid Liver	Alluring Lophid Extract	Spiked Tail Fin	Lophid Jaw Meat	Quirky Liver	Smelly Fish Meat	---		---	CC - L	6	---
